CMPD_CHEMBLID SMILES PIC50_VALUE REFERENCE CLASE ID_CLASE
CHEMBL3353090 COc1cc(Nc2nc(nn2C)-c2ccc(c(OC)c2)-n2cnc(C)c2)cc(c1)C(F)(F)F 8.30 Velter2014 f-triazoles 17
CHEMBL3771056 CNc1nc(Nc2ccc(c(OC)c2)-n2cnc(Cl)c2)nc2c1C=CCN=C2c1ccccc1 8.30 Wu2016 f-otros 28
COMPOUND000K3 COc4cc(C)c(Nc3nc(c2ccc(n1cnc(C)c1)c(F)c2)cs3)cc4C(C)C 8.30 Kounnas2010 f-tiazoles 21
CHEMBL3580774 C[C@@H](COc1ccc(F)cc1[C@@H](C)C(F)(F)F)N1CCn2c(ccc(-n3cnc(C)c3)c2=O)C1=O 8.22 Pettersson2015b f-piridopirazinediona 22
CHEMBL3394946 C[C@H](N1CCn2c(ccc(-n3cnc(C)c3)c2=O)C1=O)c1cn(C)c2ccc(cc12)C(F)(F)F 8.22 Pettersson2015a f-piridopirazinediona 22
COMPOUNDP0030 Cc5cn(c4ccc3C(=O)N([C@@H](C)C1=CC(C)(C)Oc2ccc(C(F)(F)F)cc12)CCn3c4=O)cn5 8.30 Pettersson2016 f-piridopirazinediona 22
COMPOUNDP0032 Cc5cn(c4ccc3C(=O)N([C@@H](C)C1=CC(C)(C)Oc2ccc(OC(F)(F)F)cc12)CCn3c4=O)cn5 8.22 Pettersson2016 f-piridopirazinediona 22
COMPOUNDP0033 Cc6cn(c5ccc4C(=O)N(C[C@@]13CC1COc2ccc(C(F)(F)F)cc23)CCn4c5=O)cn6 8.25 Pettersson2016 f-piridopirazinediona 22
COMPOUNDP0040 Cc6cn(c5ccc4C(=O)N(C[C@]13CC1COc2ccc(C(F)(F)F)cc23)CCn4c5=O)cn6 6.89 Pettersson2016 f-piridopirazinediona 22
COMPOUNDP0041 Cc6cn(c5ccc4C(=O)N(C[C@@]13CC1COc2cc(C(F)(F)F)ccc23)CCn4c5=O)cn6 7.28 Pettersson2016 f-piridopirazinediona 22
COMPOUNDP0042 Cc6cn(c5ccc4C(=O)N(C[C@@]13CC1COc2ccc(Cl)cc23)CCn4c5=O)cn6 7.20 Pettersson2016 f-piridopirazinediona 22
COMPOUNDP0043 COc6ccc5OCC1C[C@@]1(CN4CCn3c(ccc(n2cnc(C)c2)c3=O)C4=O)c5c6 6.74 Pettersson2016 f-piridopirazinediona 22
COMPOUNDP0044 Cc6cn(c5ccc4C(=O)N(C[C@@]13CC1C(C)(C)Oc2ccc(C(F)(F)F)cc23)CCn4c5=O)cn6 8.31 Pettersson2016 f-piridopirazinediona 22
COMPOUNDP0045 Cc6cn(c5ccc4C(=O)N(C[C@@]13CC1C(C)(C)Oc2ccc(OC(F)(F)F)cc23)CCn4c5=O)cn6 8.29 Pettersson2016 f-piridopirazinediona 22
COMPOUNDP0020 Cc5cn(c4ccc3C(=O)N(CC1=CCOc2ccc(C(F)(F)F)cc12)CCn3c4=O)cn5 7.52 Pettersson2016 f-piridopirazinediona 22
COMPOUNDP0021 Cc5cn(c4ccc3C(=O)N(CC2CCOc1ccc(C(F)(F)F)cc12)CCn3c4=O)cn5 6.49 Pettersson2016 f-piridopirazinediona 22
COMPOUNDP0028 Cc5cn(c4ccc3C(=O)N(CC1=CC(C)(C)Oc2ccc(C(F)(F)F)cc12)CCn3c4=O)cn5 7.89 Pettersson2016 f-piridopirazinediona 22
COMPOUNDP0029 Cc5cn(c4ccc3C(=O)N(CC1=CC(C)(C)Oc2ccc(Cl)cc12)CCn3c4=O)cn5 7.28 Pettersson2016 f-piridopirazinediona 22
COMPOUNDP0031 Cc5cn(c4ccc3C(=O)N([C@H](C)C1=CC(C)(C)Oc2ccc(C(F)(F)F)cc12)CCn3c4=O)cn5 6.10 Pettersson2016 f-piridopirazinediona 22
CHEMBL3353100 COc1nc(ccc1-n1cnc(C)c1)-c1nc(Nc2cccc(c2)C(F)(F)F)n(C)n1 8.10 Velter2014 f-triazoles 17
CHEMBL3394944 Cc1cn(cn1)-c1ccc2C(=O)N(Cc3cn(C)c4cc(F)c(cc34)C(F)(F)F)CCn2c1=O 8.10 Pettersson2015a f-piridopirazinediona 22
